Designator,Mid X,Mid Y,Layer,Rotation
C2,166.5500mm,85.5500mm,Top,270.0
C3,169.2500mm,87.9500mm,Top,270.0
C4,176.0200mm,106.5000mm,Top,270.0
C5,128.4500mm,13.2000mm,Top,90.0
C6,156.0500mm,88.2500mm,Top,180.0
C8,156.4500mm,85.8500mm,Top,270.0
C9,169.2950mm,82.9250mm,Top,90.0
C10,171.9500mm,82.9500mm,Top,90.0
C11,174.2500mm,82.9500mm,Top,90.0
C12,169.2450mm,60.4500mm,Top,180.0
C13,171.9500mm,66.6500mm,Top,0.0
C14,166.7500mm,73.9250mm,Top,270.0
C15,168.8500mm,74.4500mm,Top,270.0
C16,161.5200mm,67.9000mm,Top,90.0
C17,158.0200mm,67.9000mm,Top,90.0
C18,164.4000mm,59.6500mm,Top,270.0
C19,160.2000mm,59.8500mm,Top,270.0
C20,162.2000mm,59.6500mm,Top,270.0
C21,162.1500mm,56.0000mm,Top,270.0
C22,160.2000mm,56.6750mm,Top,270.0
C23,72.6500mm,15.3000mm,Top,270.0
C24,74.7000mm,15.2750mm,Top,270.0
C29,132.3250mm,41.6950mm,Top,0.0
C30,132.1250mm,39.7950mm,Top,0.0
C31,132.5000mm,60.4000mm,Top,0.0
C32,132.3250mm,58.5000mm,Top,0.0
C33,132.5000mm,50.9500mm,Top,0.0
C34,132.3000mm,49.1500mm,Top,0.0
C35,140.9000mm,62.1000mm,Top,270.0
C36,133.0250mm,62.7000mm,Top,0.0
C37,148.1000mm,13.2000mm,Top,0.0
C38,151.2000mm,13.2000mm,Top,0.0
C39,141.9250mm,13.2500mm,Top,0.0
C40,145.0500mm,11.6000mm,Top,0.0
C41,135.7250mm,11.6000mm,Top,0.0
C42,138.8000mm,13.1500mm,Top,0.0
C43,158.7250mm,4.9500mm,Top,0.0
C44,152.2000mm,16.0000mm,Top,270.0
C45,153.7000mm,15.9750mm,Top,270.0
C46,160.2000mm,15.9750mm,Top,270.0
C47,161.7500mm,15.9750mm,Top,270.0
C48,105.5500mm,11.7500mm,Top,180.0
C49,146.9500mm,25.9500mm,Top,0.0
C50,149.9500mm,25.9500mm,Top,180.0
C51,159.9500mm,27.1250mm,Top,0.0
C52,162.9500mm,27.1250mm,Top,180.0
C53,102.1750mm,21.6250mm,Top,0.0
C54,105.4500mm,24.6250mm,Top,270.0
C55,164.4500mm,30.1250mm,Top,270.0
C56,150.9500mm,28.9500mm,Top,270.0
C57,147.4500mm,52.4500mm,Top,180.0
C58,133.2500mm,12.4500mm,Top,90.0
C59,103.3500mm,100.8500mm,Top,90.0
C60,120.7500mm,12.4500mm,Top,90.0
C61,104.1500mm,111.1000mm,Top,0.0
C62,89.6450mm,69.3850mm,Top,270.0
C63,82.4200mm,70.4100mm,Top,180.0
C64,117.6500mm,13.3500mm,Top,180.0
C65,72.2000mm,57.1000mm,Top,270.0
C66,86.4450mm,60.2850mm,Top,90.0
C67,79.4200mm,68.2600mm,Top,180.0
C68,104.4000mm,41.5000mm,Top,0.0
C69,89.6500mm,47.1250mm,Top,270.0
C70,113.8750mm,13.3500mm,Top,180.0
C71,82.4250mm,48.1500mm,Top,180.0
C72,72.2000mm,51.3000mm,Top,270.0
C73,86.4500mm,38.0250mm,Top,90.0
C74,79.4250mm,46.0000mm,Top,180.0
C75,104.4000mm,37.8000mm,Top,0.0
C76,89.7000mm,24.2750mm,Top,270.0
C77,110.0500mm,13.3500mm,Top,180.0
C78,82.4750mm,25.3000mm,Top,180.0
C79,72.2000mm,47.1000mm,Top,270.0
C80,86.5000mm,15.1750mm,Top,90.0
C81,79.4750mm,23.1500mm,Top,180.0
C82,104.4000mm,34.1500mm,Top,0.0
C83,106.5500mm,50.3500mm,Top,180.0
C84,106.6250mm,52.3500mm,Top,180.0
C85,104.4000mm,30.4000mm,Top,0.0
C86,104.4250mm,45.1500mm,Top,0.0
C87,89.3750mm,43.3000mm,Top,0.0
C88,116.2500mm,39.7500mm,Top,270.0
C89,89.6000mm,21.3500mm,Top,0.0
C90,89.4250mm,65.9000mm,Top,0.0
C91,93.7000mm,49.1000mm,Top,0.0
C92,39.0000mm,23.0000mm,Top,270.0
C93,41.3000mm,23.0000mm,Top,270.0
C94,39.8000mm,14.4000mm,Top,270.0
C95,42.1000mm,14.4000mm,Top,270.0
C96,72.8250mm,35.9000mm,Top,0.0
C97,75.4450mm,109.7500mm,Top,0.0
C98,75.4500mm,111.9500mm,Top,0.0
C99,75.9000mm,100.2000mm,Top,0.0
C100,76.0000mm,96.4000mm,Top,0.0
C101,117.5250mm,115.2150mm,Top,90.0
C102,126.9250mm,112.1650mm,Top,90.0
C103,116.5250mm,108.1000mm,Top,180.0
C104,111.5500mm,96.3500mm,Top,180.0
C105,119.5250mm,103.3000mm,Top,0.0
C106,117.1250mm,94.7000mm,Top,180.0
C107,104.0000mm,93.7000mm,Top,270.0
C108,111.8750mm,106.0000mm,Top,0.0
C109,106.9500mm,100.9250mm,Top,270.0
C110,104.5500mm,97.9500mm,Top,0.0
C111,112.9750mm,84.3000mm,Top,180.0
C112,112.8500mm,86.3000mm,Top,180.0
C114,103.2500mm,114.5500mm,Top,270.0
C115,105.5500mm,114.5750mm,Top,270.0
C116,136.1000mm,107.4250mm,Top,180.0
C117,136.0500mm,105.5750mm,Top,180.0
C118,143.2750mm,85.6500mm,Top,180.0
C121,104.1500mm,107.3500mm,Top,0.0
