LCSC,Value / MPN,Footprint,Designators,Per board,For 2 boards,Order qty (3 boards),Why hand-soldered
C2836439,100uF 50V,CP_Elec_8x10.5,C1,1,2,3,deselected at JLC (cost)
C15850,10uF 25V,C_0805_2012Metric,"C25,C27",2,4,6,bottom side (Economic PCBA is single-side)
C14663,100nF 50V,C_0603_1608Metric,"C26,C28,C119",3,6,9,bottom side (Economic PCBA is single-side)
C106246,1nF C0G,C_0603_1608Metric,"C113,C120",2,4,6,bottom side (Economic PCBA is single-side)
C2925443,SMAJ5.0A,D_SMA,D17,1,2,3,bottom side (Economic PCBA is single-side)
C48467,5A 125V,Fuse_2410_6125Metric,F1,1,2,3,deselected at JLC (cost)
C182445,3A 63V,Fuse_1206_3216Metric,F2,1,2,3,deselected at JLC (cost)
C7542932,0.2A 30V 1206L020,Fuse_1206_3216Metric,F3,1,2,3,deselected at JLC (cost)
C492427,LaunchPad J8+J6,PinHeader_2x10_P2.54mm_Vertical,"J20,J21,J22,J23",4,8,12,deselected at JLC (cost)
C88056,ACT45B-101-2P-TL003,L_CommonMode_TDK_ACT45B,L3,1,2,3,deselected at JLC (cost)
C3281500,SQD50P06-15L,TO-252-2,Q1,1,2,3,deselected at JLC (cost)
C25803,100k,R_0603_1608Metric,R2,1,2,3,bottom side (Economic PCBA is single-side)
C25804,10k,R_0603_1608Metric,R3,1,2,3,bottom side (Economic PCBA is single-side)
C136963,3.00k 0.1%,R_0603_1608Metric,"R57,R105",2,4,6,deselected at JLC (cost)
C861295,2.20k 0.1%,R_0603_1608Metric,"R58,R129",2,4,6,deselected at JLC (cost)
C22935,1M,R_0603_1608Metric,R118,1,2,3,bottom side (Economic PCBA is single-side)
C21189,0R,R_0603_1608Metric,R119,1,2,3,bottom side (Economic PCBA is single-side)
C5369735,URA2415YMD-6WR3,Converter_DCDC_Mornsun_URA-YMD-6WR3_THT,U4,1,2,3,deselected at JLC (cost)
C465729,UCC27524DR,SOIC-8_3.9x4.9mm_P1.27mm,"U5,U6,U7",3,6,9,deselected at JLC (cost)
C22046,SN74LVC1G11DBVR,SOT-23-6,U8,1,2,3,deselected at JLC (cost)
C46316,OPA2376,SOIC-8_3.9x4.9mm_P1.27mm,"U12,U13,U14,U15,U16,U17",6,12,18,deselected at JLC (cost)
,Mini-Fit Jr 5566-02A,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,J1,1,2,3,consigned connector (no LCSC line)
,DSUB-37_Socket,DSUB-37_Socket_Horizontal_P2.77x2.54mm_MountingHoles,J2,1,2,3,consigned connector (no LCSC line)
,LEM DT15-12PA key A,DEUTSCH_DT15-12P_Vertical,J3,1,2,3,consigned connector (no LCSC line)
,ENC DT15-12PB key B,DEUTSCH_DT15-12P_Vertical,J4,1,2,3,consigned connector (no LCSC line)
,VEH DT15-08PD key D,DEUTSCH_DT15-08P_Vertical,J5,1,2,3,consigned connector (no LCSC line)
